
> strategy_lab@1.0.0 start
> cross-env NODE_ENV=development node server.js

[2025-11-20T03:17:16.576Z] GET /js/modules/settings/sources_books.handlers.js
[2025-11-20T03:17:16.578Z] GET /js/modules/settings/webapps.api.js
[2025-11-20T03:17:22.741Z] GET /css/main.css?v=1.0.2
[2025-11-20T03:17:22.744Z] GET /css/base.css
[2025-11-20T03:17:22.747Z] GET /css/navigation.css
[2025-11-20T03:17:22.762Z] GET /css/forms.css
[2025-11-20T03:17:22.763Z] GET /css/modals.css
[2025-11-20T03:17:22.765Z] GET /css/components.css
[2025-11-20T03:17:22.767Z] GET /css/settings.css
[2025-11-20T03:17:22.769Z] GET /css/strategy-lab.css
[2025-11-20T03:17:22.773Z] GET /css/themes.css
[2025-11-20T03:17:22.775Z] GET /css/themes.css?v=1.0.1
[2025-11-20T03:17:22.778Z] GET /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20T03:22:30.495Z] GET /
[2025-11-20T03:22:30.567Z] GET /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20T03:22:30.587Z] GET /css/main.css?v=1.0.2
[2025-11-20T03:22:30.591Z] GET /css/themes.css?v=1.0.1
[2025-11-20T03:22:30.595Z] GET /js/app-main.js
[2025-11-20T03:22:30.597Z] GET /images/strategy-lab-logo.svg
[2025-11-20T03:22:30.606Z] GET /css/base.css
[2025-11-20T03:22:30.609Z] GET /css/navigation.css
[2025-11-20T03:22:30.611Z] GET /css/forms.css
[2025-11-20T03:22:30.614Z] GET /css/modals.css
[2025-11-20T03:22:30.617Z] GET /css/components.css
[2025-11-20T03:22:30.619Z] GET /css/settings.css
[2025-11-20T03:22:30.624Z] GET /css/strategy-lab.css
[2025-11-20T03:22:30.626Z] GET /css/themes.css
[2025-11-20T03:22:30.628Z] GET /js/modules/navigation/index.js
[2025-11-20T03:22:30.629Z] GET /js/modules/settings/appearance.handlers.js
[2025-11-20T03:22:30.632Z] GET /js/modules/strategy-lab/paper-trades/new-render.js
[2025-11-20T03:22:30.634Z] GET /js/modules/transactions/edit-trade.handlers.js
[2025-11-20T03:22:30.639Z] GET /js/modules/user-selector/index.js
[2025-11-20T03:22:30.642Z] GET /js/utils/loadHtmlPartial.js
[2025-11-20T03:22:30.662Z] GET /js/modules/strategy-lab/watched-list/api.js
[2025-11-20T03:22:30.666Z] GET /js/modules/transactions/api.js
[2025-11-20T03:22:30.713Z] GET /js/services/apiFetch.js
[2025-11-20T03:22:30.753Z] GET /_source-form-modal.html
[2025-11-20T03:22:30.921Z] GET /images/contacts/default.png
[2025-11-20T03:22:30.924Z] GET /_source-detail-modal.html
[2025-11-20T03:22:30.927Z] GET /favicon.ico
[2025-11-20T03:22:30.933Z] GET /_add-strategy-modal.html
[2025-11-20T03:22:30.989Z] GET /_sell-trade-modal.html
[2025-11-20T03:22:31.016Z] GET /_edit-trade-modal.html
[2025-11-20T03:22:31.060Z] GET /_paper-trade-details-modal.html
[2025-11-20T03:22:31.069Z] GET /_add-idea-modal.html
[2025-11-20T03:22:31.083Z] GET /_edit-strategy-modal.html
[2025-11-20T03:22:31.093Z] GET /_dashboard.html
[2025-11-20T03:22:31.125Z] GET /js/modules/dashboard/index.js
[2025-11-20T03:22:32.823Z] GET /_strategy-lab.html
[2025-11-20T03:22:32.830Z] GET /js/modules/strategy-lab/index.js
[2025-11-20T03:22:32.843Z] GET /js/modules/strategy-lab/handlers.js
[2025-11-20T03:22:32.881Z] GET /js/modules/strategy-lab/sources/handlers.js
[2025-11-20T03:22:32.883Z] GET /js/modules/strategy-lab/watched-list/handlers.js
[2025-11-20T03:22:32.889Z] GET /js/modules/strategy-lab/paper-trades/handlers.js
[2025-11-20T03:22:32.891Z] GET /js/modules/settings/sources.api.js
[2025-11-20T03:22:32.892Z] GET /js/modules/strategy-lab/sources/modal.handlers.js
[2025-11-20T03:22:32.894Z] GET /js/modules/strategy-lab/sources/render.js
[2025-11-20T03:22:32.895Z] GET /js/modules/strategy-lab/sources/idea-form.handlers.js
[2025-11-20T03:22:32.897Z] GET /js/modules/strategy-lab/watched-list/render.js
[2025-11-20T03:22:32.903Z] GET /js/modules/strategy-lab/paper-trades/api.js
[2025-11-20T03:22:32.905Z] GET /js/modules/settings/sources.handlers.js
[2025-11-20T03:22:32.907Z] GET /js/modules/transactions/render.js
[2025-11-20T03:22:32.910Z] GET /js/modules/strategy-lab/sources/api.js
[2025-11-20T03:22:32.912Z] GET /js/modules/strategy-lab/sources/strategy-form.handlers.js
[2025-11-20T03:22:32.913Z] GET /js/modules/transactions/paper-trade-details.handlers.js
[2025-11-20T03:22:32.915Z] GET /js/utils/formatters.js
[2025-11-20T03:22:32.917Z] GET /js/utils/sortUtils.js
[2025-11-20T03:22:32.918Z] GET /js/api.js
[2025-11-20T03:22:32.921Z] GET /js/modules/strategy-lab/watched-list/database.js
[2025-11-20T03:22:32.923Z] GET /js/modules/strategy-lab/watched-list/priceServiceV2.js
[2025-11-20T03:22:32.924Z] GET /js/modules/settings/sources_books.handlers.js
[2025-11-20T03:22:32.926Z] GET /js/modules/settings/webapps.api.js
[2025-11-20T03:27:01.552Z] GET /
[2025-11-20T03:27:01.624Z] GET /.well-known/appspecific/com.chrome.devtools.json
[2025-11-20T03:27:01.640Z] GET /css/main.css?v=1.0.2
[2025-11-20T03:27:01.649Z] GET /css/themes.css?v=1.0.1
[2025-11-20T03:27:01.652Z] GET /images/strategy-lab-logo.svg
[2025-11-20T03:27:01.654Z] GET /js/app-main.js
[2025-11-20T03:27:01.669Z] GET /css/base.css
[2025-11-20T03:27:01.678Z] GET /css/navigation.css
[2025-11-20T03:27:01.693Z] GET /css/forms.css
[2025-11-20T03:27:01.696Z] GET /css/modals.css
